seconds,particles_p1,particles_p2,o3_data
1541566869,0,654,0.711757
1541566959,0,1018,0.712329
1541567049,0,803,0.71252
1541567139,0,793,0.712253
1541567229,0,714,0.7121
1541567319,0,909,0.711795
1541567409,0,540,0.712406
1541567499,0,579,0.712711
1541567589,0,649,0.7121
1541567679,0,815,0.71149
1541567769,0,755,0.713016
1541567859,0,489,0.713016
1541567949,0,558,0.712558
1541568039,0,909,0.712825
1541568129,0,608,0.712634
1541568219,0,707,0.71107
1541568309,0,690,0.711528
1541568399,0,724,0.711604
1541568489,0,656,0.711223
1541568579,0,510,0.712253
1541568669,0,589,0.711376
1541568759,0,912,0.711261
1541568849,0,639,0.712062
1541568939,0,770,0.711299
1541569029,0,539,0.710956
1541569119,0,754,0.711223
1541569209,0,726,0.711604
1541569299,0,670,0.711528
1541569389,0,695,0.713932
1541569479,0,748,0.711948
1541569569,0,693,0.712902
1541569659,0,590,0.713436
1541569749,0,777,0.71313
1541569839,0,833,0.712253
1541569929,0,489,0.712215
1541570019,0,787,0.710803
1541570109,0,481,0.710918
1541570199,0,839,0.711261
1541570289,0,656,0.711185
1541570379,49,745,0.711337
1541570469,0,544,0.710918
1541570559,0,895,0.711643
1541570649,0,622,0.711109
1541570739,0,527,0.71294
1541570829,0,801,0.710536
1541570919,0,798,0.71107
1541571009,0,611,0.711223
1541571099,0,555,0.710727
1541571189,0,655,0.711223
1541571279,0,945,0.711147
1541571369,0,616,0.711376
1541571459,0,575,0.711872
1541571549,0,760,0.711414
1541571639,0,931,0.713359
1541571729,0,857,0.710269
1541571819,0,531,0.710994
1541571909,0,527,0.711261
1541571999,0,926,0.711261
1541572089,0,666,0.711376
1541572179,0,815,0.711147
1541572269,0,580,0.711452
1541572359,0,785,0.711109
1541572449,0,552,0.711719
1541572539,0,872,0.711452
1541572629,0,894,0.711452
1541572719,0,969,0.711566
1541572809,0,557,0.712749
1541572899,0,587,0.711109
1541572989,0,704,0.711719
1541573079,0,910,0.712329
1541573169,0,746,0.713588
1541573259,0,795,0.712329
1541573349,0,621,0.712978
1541573439,0,794,0.709697
1541573529,0,569,0.710307
1541573619,0,643,0.712596
1541573709,0,686,0.712177
1541573799,0,822,0.712787
1541573889,0,695,0.71294
1541573979,0,673,0.713474
1541574069,0,597,0.713512
1541574159,39,626,0.713169
1541574249,0,695,0.71355
1541574339,0,829,0.712482
1541574429,0,556,0.712787
1541574519,47,966,0.712863
1541574609,0,762,0.712863
1541574699,0,929,0.714046
1541574789,0,601,0.713397
1541574879,64,826,0.71397
1541574969,0,849,0.714237
1541575059,0,729,0.714122
1541575149,0,800,0.710918
1541575239,0,763,0.711299
1541575329,0,729,0.71191
1541575419,0,693,0.712062
1541575509,0,659,0.712139
1541575599,0,920,0.712139
1541575689,0,790,0.71191
1541575779,0,682,0.71252
1541653272,0,562,0.711566
1541653383,0,989,0.711757
1541653452,12,688,0.711757
1541653542,0,675,0.711452
1541653633,0,651,0.710994
1541739669,40,948,0.710651
1541739770,0,723,0.711032
1541739849,0,644,0.710651
1541739939,0,548,0.711795
1541740029,12,886,0.711948
1541740119,0,737,0.711452
1541826076,0,722,0.709545
1541826176,0,650,0.710269
1541826257,0,904,0.711261
1541826346,0,777,0.709964
1541826437,473,4330,0.755055
1541826527,0,868,0.749027
1541826617,545,4089,0.833715
1541826706,0,784,0.831998
1541826797,0,771,0.831235
1541826887,0,687,0.829747
1541826977,0,662,0.829137
1541827066,0,823,0.829099
1541827157,0,838,0.827115
1541827247,0,663,0.826581
1541827337,0,512,0.826391
1541827426,573,4523,0.818647
1541827517,0,650,0.815595
1541827607,0,710,0.811894
1541912469,0,663,0.806401
1541912568,0,588,0.812161
1541912649,0,949,0.810941
1541912739,0,718,0.809834
1541912829,0,789,0.809834
1541998882,0,599,0.809758
1541998972,0,773,0.80972
1541999062,0,911,0.809453
1541999152,0,577,0.808652
1541999242,581,4386,0.722095
1541999332,0,795,0.72076
1541999422,0,826,0.718471
1541999512,0,646,0.717861
1541999602,14,678,0.716373
1541999692,0,640,0.716297
1541999782,0,814,0.71603
1541999872,0,526,0.714923
1541999962,0,662,0.712062
