seconds,particles_p1,particles_p2,o3_data
1541566869,524,3894,0.71149
1541566959,0,750,0.700771
1541567049,0,698,0.699931
1541567139,0,606,0.699207
1541567229,0,540,0.701038
1541567319,0,705,0.700084
1541567409,0,678,0.700313
1541567499,0,661,0.69955
1541567589,0,594,0.700732
1541567679,0,630,0.700885
1541567769,0,770,0.700618
1541567859,0,637,0.700656
1541567949,0,523,0.700504
1541568039,0,757,0.700465
1541568129,0,837,0.700198
1541568219,0,597,0.700885
1541568309,0,442,0.700771
1541568399,0,897,0.70119
1541568489,0,642,0.701267
1541568579,0,515,0.701419
1541568669,0,496,0.701076
1541568759,0,694,0.701381
1541568849,0,944,0.701267
1541568939,0,553,0.701457
1541569029,0,594,0.701381
1541569119,0,906,0.701114
1541569209,0,724,0.701305
1541569299,0,636,0.701076
1541569389,0,627,0.701419
1541569479,0,640,0.701534
1541569569,0,622,0.701839
1541569659,0,513,0.702487
1541569749,0,541,0.702182
1541569839,0,715,0.701991
1541569929,0,658,0.701724
1541570019,0,685,0.703555
1541570109,0,545,0.702602
1541570199,0,835,0.702716
1541570289,0,772,0.702564
1541570379,0,699,0.702525
1541570469,0,557,0.702754
1541570559,0,818,0.703403
1541570649,0,907,0.703288
1541570739,0,555,0.704051
1541570829,0,592,0.703212
1541570919,0,634,0.703784
1541571009,0,808,0.704051
1541571099,0,874,0.703632
1541571189,0,580,0.703632
1541571279,0,626,0.703975
1541571369,0,616,0.704547
1541571459,0,506,0.704433
1541571549,16,1006,0.703861
1541571639,0,717,0.70428
1541571729,0,658,0.706035
1541571819,0,785,0.704776
1541571909,0,769,0.704318
1541571999,0,621,0.704623
1541572089,0,612,0.704662
1541572179,0,611,0.705501
1541572269,0,656,0.705692
1541572359,0,627,0.705997
1541572449,0,639,0.705539
1541572539,0,549,0.706035
1541572629,0,740,0.705463
1541572719,0,638,0.70634
1541572809,0,1193,0.706149
1541572899,0,488,0.706569
1541572989,0,510,0.707561
1541573079,0,640,0.706531
1541573169,0,662,0.706645
1541573259,0,532,0.706073
1541573349,0,607,0.706378
1541573439,0,809,0.706989
1541573529,0,723,0.707179
1541573619,0,730,0.70695
1541573709,0,541,0.706493
1541573799,0,593,0.706493
1541573889,0,762,0.70676
1541573979,0,594,0.707256
1541574069,0,584,0.707523
1541574159,0,785,0.707675
1541574249,0,696,0.707294
1541574339,0,634,0.707141
1541574429,0,561,0.707179
1541574519,0,685,0.707675
1541574609,0,771,0.707446
1541574699,0,550,0.707103
1541574789,0,546,0.70695
1541574879,0,731,0.707523
1541574969,0,692,0.708133
1541575059,0,602,0.708782
1541575149,0,613,0.708705
1541575239,0,994,0.709125
1541575329,0,549,0.709545
1541575419,0,548,0.710231
1541575509,0,766,0.709812
1541575599,0,618,0.710346
1541575689,0,575,0.710498
1541575779,0,648,0.712024
1541653272,465,4594,0.687152
1541653383,0,651,0.685168
1541653452,0,681,0.684291
1541653542,0,597,0.683261
1541653633,0,808,0.682307
1541739669,499,4345,0.688563
1541739770,0,572,0.686465
1541739849,0,595,0.686198
1541739939,0,597,0.680743
1541740029,0,693,0.684215
1541740119,0,537,0.682879
1541826076,613,4398,0.716907
1541826176,0,756,0.716106
1541826257,0,917,0.71397
1541826346,0,640,0.713245
1541826437,0,748,0.71313
1541826527,0,679,0.712787
1541826617,0,931,0.712406
1541826706,0,736,0.706683
1541826797,0,537,0.712444
1541826887,0,430,0.711757
1541826977,0,1027,0.711147
1541827066,0,673,0.710956
1541827157,0,720,0.711414
1541827247,0,670,0.710803
1541827337,0,809,0.710193
1541827426,0,797,0.709201
1541827517,0,708,0.707637
1541827607,0,740,0.709239
1541912469,406,4572,0.720493
1541912568,0,698,0.715
1541912649,0,645,0.718318
1541912739,0,588,0.716793
1541912829,0,707,0.715267
1541998882,434,4167,0.719806
1541998972,0,776,0.713283
1541999062,0,690,0.715534
1541999152,0,586,0.711337
1541999242,0,713,0.71519
1541999332,0,786,0.714351
1541999422,47,923,0.714199
1541999512,0,696,0.713855
1541999602,0,783,0.710613
1541999692,0,530,0.712062
1541999782,0,745,0.712177
1541999872,0,700,0.712177
1541999962,0,575,0.712139
